"","comuna","categoria","precio","tiponegocio","aniousuarioyapo","urlyapo"
"X2","Ñuñoa","Autos, camionetas y 4x4","26900000","Vendo","2018","https://www.yapo.cl/region_metropolitana/autos/bmw_x6_m_2015_unica_en_chile_73708767.htm?ca=15_s&first=1&oa=73708767&xsp=0"
"X21","Santiago","Autos, camionetas y 4x4","1000","Vendo","2015","https://www.yapo.cl/region_metropolitana/autos/citroen_c_elysee_1_6_2014_en_desarme_73708765.htm?ca=15_s&oa=73708765&xsp=1"
"X22","Ñuñoa","Electrodomésticos","15000","Vendo","2014","https://www.yapo.cl/region_metropolitana/electrodomesticos/cafetera_thomas_th_135_73708763.htm?ca=15_s&oa=73708763&xsp=2"
"X23","Estación Central","Negocios, maquinaria y construcción","19000","Vendo","2020","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/balanza_pesa_40kg_electronica_digital_73708762.htm?ca=15_s&oa=73708762&xsp=3"
"X24","Santiago","Moda y vestuario","5000","Vendo","2014","https://www.yapo.cl/region_metropolitana/moda-vestuario/enterito_short_animal_print_original_de_colombia_73708761.htm?ca=15_s&oa=73708761&xsp=4"
"X25","Ñuñoa","Celulares, teléfonos y accesorios","2e+05","Vendo","2014","https://www.yapo.cl/region_metropolitana/celulares/telefono_samsung_galaxy_a51_practicamente_nuevo_73708759.htm?ca=15_s&oa=73708759&xsp=5"
"X26","Santiago","Juguetes","3000","Vendo","2016","https://www.yapo.cl/region_metropolitana/juguetes/grumovil_hotwheels_mi_villano_favorito_73708757.htm?ca=15_s&oa=73708757&xsp=6"
"1","Santiago","Ofertas de empleo",NA,NA,"2016","https://www.yapo.cl/region_metropolitana/ofertas_de_empleo/soldador_73708756.htm?ca=15_s&oa=73708756&xsp=7"
"X27","Santiago","Bolsos, bisutería y accesorios","35000","Vendo","2014","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/lentes_oakley_73708752.htm?ca=15_s&oa=73708752&xsp=8"
"X28","Las Condes","Coches y artículos infantiles","30000","Vendo","2015","https://www.yapo.cl/region_metropolitana/coches-articulos-infantiles/silla_nido_mecedora_73708751.htm?ca=15_s&oa=73708751&xsp=9"
"X29","Huechuraba","Libros y revistas","1000","Vendo","2018","https://www.yapo.cl/region_metropolitana/libros_revistas/3_libros_distintos_73708748.htm?ca=15_s&oa=73708748&xsp=10"
"X210","Puente Alto","Libros y revistas","2000","Vendo","2017","https://www.yapo.cl/region_metropolitana/libros_revistas/libro_el_ultimo_ona_73708743.htm?ca=15_s&oa=73708743&xsp=11"
"X211","Huechuraba","Libros y revistas","4000","Vendo","2018","https://www.yapo.cl/region_metropolitana/libros_revistas/te_adventures_of_tom_sawyer_73708742.htm?ca=15_s&oa=73708742&xsp=12"
"X212","Quinta Normal","Accesorios y piezas para vehículos","250000","Vendo","2015","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/maquina_analizados_de_gases_automotriz_73708741.htm?ca=15_s&oa=73708741&xsp=13"
"X213","Estación Central","Consolas, videojuegos y accesorios","14000","Vendo","2019","https://www.yapo.cl/region_metropolitana/consolas_videojuegos/baterias_sony_aa_recargables__caja__73708740.htm?ca=15_s&oa=73708740&xsp=14"
"X214","Lampa","Accesorios y piezas para vehículos","5000","Vendo","2013","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/carroceria__73708739.htm?ca=15_s&oa=73708739&xsp=15"
"X215","Pedro Aguirre Cerda","Bolsos, bisutería y accesorios","85000","Vendo","2018","https://www.yapo.cl/region_metropolitana/bolsos-bisuteria-accesorios/reloj_casio_g_shock_ga_1100_73708737.htm?ca=15_s&oa=73708737&xsp=16"
"X216","Puente Alto","Negocios, maquinaria y construcción","8e+05","Vendo","2018","https://www.yapo.cl/region_metropolitana/negocios_maquinaria_construccion/sobadora_albornoz_73708736.htm?ca=15_s&oa=73708736&xsp=17"
"X217","Cerrillos","Animales y sus accesorios","2000","Vendo","2015","https://www.yapo.cl/region_metropolitana/animales_accesorios/zophobas_larva_20g_73708732.htm?ca=15_s&oa=73708732&xsp=18"
"X218","Santiago","Juguetes","3000","Vendo","2016","https://www.yapo.cl/region_metropolitana/juguetes/tesla_roadster_2008_hotwheels_73708728.htm?ca=15_s&oa=73708728&xsp=19"
"X219","El Bosque","Accesorios y piezas para vehículos","20000","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/mascara_nissan_tiida_envios_a_regiones_73708725.htm?ca=15_s&oa=73708725&xsp=20"
"X220","Pudahuel","Accesorios y piezas para vehículos","1e+05","Vendo","2019","https://www.yapo.cl/region_metropolitana/accesorios_vehiculos/capot_chery_fulwin_73708724.htm?ca=15_s&oa=73708724&xsp=21"
